2024-03-30 14:49:53,386 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Current SDK version is 0.16.5
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Configure stats pid to 3763098
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Loading settings from /home/gridsan/mkhona/.config/wandb/settings
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Loading settings from /home/gridsan/mkhona/graph_reps/pytorch_implementation/wandb/settings
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'pytorch_implementation/train_graphs_cuda.py', 'program_abspath': '/home/gridsan/mkhona/graph_reps/pytorch_implementation/train_graphs_cuda.py', 'program': '/home/gridsan/mkhona/graph_reps/pytorch_implementation/train_graphs_cuda.py'}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_init.py:_log_setup():527] Logging user logs to /home/gridsan/mkhona/graph_reps/pytorch_implementation/wandb/offline-run-20240330_144953-qfdyn8l2/logs/debug.log
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_init.py:_log_setup():528] Logging internal logs to /home/gridsan/mkhona/graph_reps/pytorch_implementation/wandb/offline-run-20240330_144953-qfdyn8l2/logs/debug-internal.log
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_init.py:init():567] calling init triggers
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_init.py:init():574] wandb.init called with sweep_config: {}
config: {}
2024-03-30 14:49:53,387 INFO    MainThread:3763098 [wandb_init.py:init():617] starting backend
2024-03-30 14:49:53,388 INFO    MainThread:3763098 [wandb_init.py:init():621] setting up manager
2024-03-30 14:49:53,390 INFO    MainThread:3763098 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-03-30 14:49:53,398 INFO    MainThread:3763098 [wandb_init.py:init():629] backend started and connected
2024-03-30 14:49:53,402 INFO    MainThread:3763098 [wandb_init.py:init():721] updated telemetry
2024-03-30 14:49:53,435 INFO    MainThread:3763098 [wandb_init.py:init():754] communicating run to backend with 90.0 second timeout
2024-03-30 14:49:53,440 INFO    MainThread:3763098 [wandb_init.py:init():805] starting run threads in backend
2024-03-30 14:50:03,119 INFO    MainThread:3763098 [wandb_run.py:_console_start():2323] atexit reg
2024-03-30 14:50:03,119 INFO    MainThread:3763098 [wandb_run.py:_redirect():2178] redirect: wrap_raw
2024-03-30 14:50:03,119 INFO    MainThread:3763098 [wandb_run.py:_redirect():2243] Wrapping output streams.
2024-03-30 14:50:03,119 INFO    MainThread:3763098 [wandb_run.py:_redirect():2268] Redirects installed.
2024-03-30 14:50:03,120 INFO    MainThread:3763098 [wandb_init.py:init():848] run started, returning control to user process
2024-03-30 14:50:04,223 WARNING MsgRouterThr:3763098 [router.py:message_loop():77] message_loop has been closed
